customer_id,customer_name,industry,member_tier,payment_terms_days,credit_limit,member_since,state
CUST340,Fyshwick Advisory,Professional Services,Associate,14,2000,2025-08-16,ACT
CUST341,Weston Roasters,Hospitality,Premium,30,10000,2024/01/08,ACT
CUST342,Capital Care,Healthcare,Standard,14,5000,2025-01-12,ACT
CUST343,Braddon Recruitment Group,Recruitment,Corporate,30,20000,2022-10-11,ACT
CUST344,Turner Health Group,Healthcare,,30,10000,2021-10-23,A.C.T.
CUST345,Canberra Partners Co,Prof Services,Standard,14,5000,2022-04-07,ACT
CUST346,Ainslie Talent Group,Recruitment,Standard,14,5000,2023-06-18,ACT
CUST347,Weston IT Services,Technology,Standard,14,5000,2025-05-28,ACT
CUST348,Watson Charity Co,Not-for-profit,Standard,14,5000,2023-04-20,ACT
CUST349,Holt Workforce,Recruitment,Standard,14,5000,2025-02-14,ACT
CUST350,Braddon Care Network Group,Not-for-profit,assoc,14,2000,2022/05/25,ACT
CUST351,Civic Construct Group,Construction,Prem,30,10000,2023-01-28,ACT
CUST352,Canberra Staffing Co,Recruitment,Associate,14,2000,2023-06-27,Australian Capital Territory
CUST353,Calwell Cafe Pty Ltd,Hospitality,Premium,30,10000,2025-11-25,ACT
CUST354,Conder Securities Co,finance,Standard,14,5000,2022-02-14,ACT
CUST355,Canberra Advisory,Professional Services,Associate,14,2000,2025-03-01,ACT
CUST356,Ainslie Group,Prof Services,Standard,14,5000,2025-04-06,ACT
CUST357,Ainslie Care Group,,Standard,14,5000,2022-02-08,ACT
CUST358,Hawker Civil Group,Construction,Standard,14,5000,2022-03-28,ACT
CUST359,Capital Support Services Pty Ltd,Not-for-profit,Premium,30,10000,2024-04-20,ACT
CUST360,Kingston Care Group,Healthcare,Standard,14,5000,2025-04-02,ACT
CUST361,Dickson Partners ACT,Professional Services,Premium,30,10000,2022/06/29,ACT
CUST362,Fyshwick Kitchen ACT,hospitality ,Corporate,30,20000,2022-06-05,ACT
CUST363,Banks Financial Co,finance,Corporate,30,20000,12-26-2023,ACT
CUST364,Reid Authority,Government,Standard,14,5000,15-Nov-24,ACT
CUST365,Bruce College,,Standard,14,"$5,000",2021-06-25,ACT
CUST366,Hawker Consulting Group,Professional Services,Premium,30,10000,2023-09-17,ACT
CUST367,Phillip Law Group,Legal,Standard,14,5000,2021-12-24,ACT
CUST368,Turner Allied Health ACT,Healthcare,,14,5000,2025-03-26,ACT
CUST369,Canberra Commission,Govt,Standard,14,5000,2023-11-18,ACT
CUST370,Tuggeranong Projects ACT,Construction,Standard,14,5000,2023-05-31,ACT
CUST371,Weston Group,,Associate,14,2000,2025-01-26,ACT
CUST372,Conder Bistro Co,,Corporate,30,20000,2021-08-15,ACT
CUST373,Yarralumla Support Services,Not-for-profit,Corporate,30 days,20000,2022-06-30,ACT 
CUST374,Belconnen Education Co,edu,std,14,5000,14-Dec-24,ACT
CUST375,Bruce Allied Health Group,Healthcare,Standard,14,5000,2021/12/08,ACT
CUST376,Tuggeranong Legal Group,LEGAL,Premium,30,10000,2024-11-30,ACT
CUST377,Braddon School,Education,Standard,14,5000,2022-10-23,ACT
CUST378,Barton Construct,construction ,Standard,14,5000,2024-11-28,ACT
CUST379,Dickson Physio ACT,HEALTHCARE,Standard,14,5000,2022-08-27,ACT
CUST380,Phillip Dental,Healthcare,Premium,30,10000,2024-03-03,ACT
CUST381,Barton Partners ACT,Professional Services,Associate,14,2000,2023-02-22,ACT
CUST382,Reid Law,legal,assoc,14,2000,2025-09-08,ACT
CUST383,Holt Charity,Not-for-profit,Premium,30,10000,2022-01-07,ACT
CUST384,Kingston Roasters,hospitality ,,14,5000,2021-02-03,ACT
CUST385,Kambah Projects Co,Construction,Standard,14,5000,2024-02-24,ACT 
CUST386,Ainslie Outfitters,retail,Associate,14,2000,2024-11-06,ACT
CUST387,Wanniassa Authority Group,Government,Associate,14,2000,2021-03-05,A.C.T.
CUST388,Ainslie Civil Co,construction ,Standard,14,5000,2024-04-11,ACT 
CUST389,Ainslie Supplies Group,retail,assoc,14,2000,2021-02-02,ACT
CUST390,Lyneham Trust,Not-for-profit,Premium,30,10000,2022-09-12,ACT
CUST391,Manuka Care Network,Not-for-profit,STANDARD,14,5000,2023-11-15,ACT
CUST392,Greenway Build Co Pty Ltd,Construction,Standard,14,5000,2021-12-29,ACT 
CUST393,Ainslie Bistro,Hospitality,Standard,14,5000,2025-11-12,ACT
CUST394,Florey Academy Group,Education,Standard,14,5000,2025-04-21,ACT
CUST395,Lyneham Trust Co,Not-for-profit,assoc,14,2000,2024/07/03,ACT
CUST396,Manuka Capital,finance,Standard,14,5000,2023-02-09,ACT
CUST397,Belconnen Search Partners,Recruitment,Premium,30,10000,2024-11-01,act
CUST398,Narrabundah Traders ACT,retail,Standard,14,5000,2024-02-09,ACT
CUST399,Watson Wealth Group,Finance,Associate,14,2000,2023-09-18,A.C.T.
CUST400,Monash Strategy,Professional Services,Standard,14,5000,17-May-21,ACT
CUST401,Holt Advisory,Professional Services,Premium,30,10000,2025-05-03,ACT
CUST402,Banks Bookkeeping Group,Finance,Premium,30 days,10000,2025-03-26,ACT
CUST403,Bruce Cyber Pty Ltd,Tech,,14,2000,2022-06-29,ACT
CUST404,Fyshwick Bureau,Government,Associate,14,2000,2022-07-14,ACT
CUST405,Fyshwick Traders,retail,Standard,14,5000,2022-04-25,ACT
CUST406,Tuggeranong Health ACT,Healthcare,assoc,14,2000,2025-06-02,ACT
CUST407,Calwell Counsel,Legal,Premium,30,10000,2024-05-05,ACT
CUST408,Yarralumla Commission,Government,Standard,14,5000,2023-02-26,ACT 
CUST409,Barton Allied Health ACT,Healthcare,Standard,14,5000,2024-11-12,ACT
CUST410,Florey Clinic Group,HEALTHCARE,Standard,14,5000,2021-03-24,ACT
CUST411,Wanniassa Physio ACT,,Standard,14,5000,2022-09-07,A.C.T.
CUST412,Bruce Law Co,Legal,Associate,14,2000,2022-10-10,ACT
CUST413,Holt People Co,recruiting,Corp,30,20000,2024-12-27,ACT
CUST414,Capital Advisory,Finance,,14,5000,2025-01-18,ACT
CUST415,Turner Chambers Pty Ltd,LEGAL,Standard,14,5000,2023-11-07,ACT
CUST416,Kingston Wellness,Healthcare,Premium,30,10000,2024-05-16,ACT
CUST417,Belconnen Foundation Co,Not-for-profit,Standard,14,5000,2025-11-18,ACT
CUST418,Phillip Traders,Retail,Prem,30,10000,2022-06-19,ACT
CUST419,Holt Tech ACT,Technology,Standard,14,5000,2022-10-24,ACT
CUST420,Barton Associates Pty Ltd,Professional Services,Associate,14,2000,10-Nov-24,ACT
CUST421,Watson Medical,health care,Standard,14,5000,2024-06-19,ACT
CUST422,Kambah Advisory Group,Finance,assoc,14,2000,2024-02-28,ACT 
CUST423,Narrabundah Data Labs Pty Ltd,IT/Technology,Standard,14,5000,2025-01-06,ACT
CUST424,Conder Dental ACT,,Standard,14,5000,2023-05-08,ACT
CUST425,Wanniassa Civil Pty Ltd,,Associate,14,2000,29-May-23,ACT
CUST426,Canberra Solutions ACT,Prof Services,Standard,14,5000,2025-07-21,ACT
CUST427,Turner Talent,Recruitment,Premium,30,10000,2023-12-01,ACT
CUST428,Conder Construct Pty Ltd,construction ,Associate,14,2000,2021-05-21,act
CUST429,Monash Kitchen Co,Hospitality,Associate,14,2000,2024-05-29,ACT
CUST430,Yarralumla Care Network Group,Not-for-profit,STANDARD,14 days,5000,2024-05-08,ACT
CUST431,Phillip Cafe Pty Ltd,Hospitality,assoc,14,2000,2023-09-24,ACT
CUST432,Belconnen Hospitality,Hospitality,Associate,14,2000,2024-01-24,ACT
CUST433,Kingston Education Pty Ltd,Education,Premium,30,10000,2022-10-12,ACT
CUST434,Isabella Solicitors Co,Legal,,30,20000,2022-01-02,ACT
CUST435,Charnwood Legal,Legal,Associate,14,"$2,000",2024-11-07,ACT
CUST436,Belconnen Counsel Group,Legal,Prem,30,10000,2025-02-13,ACT
CUST437,Dickson Securities Pty Ltd,Finance,Premium,30,10000,2023-09-06,ACT
CUST438,Isabella Wealth,Finance,STANDARD,14,5000,2023-10-27,ACT
CUST439,Bruce Data Labs ACT,Tech,Premium,30,10000,2024-09-07,ACT
CUST440,Deakin Care Network Pty Ltd,Not-for-profit,Corp,30,20000,2021-07-01,ACT
CUST441,Barton Tech ACT,Technology,Premium,30,10000,2021-05-17,ACT
CUST442,Holt Build Co Group,Construction,Associate,14,2000,04-Jun-23,ACT
CUST443,Greenway Civil,,Premium,30 days,10000,2025-07-23,ACT
CUST444,Reid Learning,edu,Associate,14,2000,2021-03-24,ACT
CUST445,Manuka Associates,Professional Services,Standard,14,"$5,000",2024-08-05,ACT
CUST365,BRUCE COLLEGE,,Standard,14,"$5,000",2021-06-25,ACT
CUST081,BARTON BUILDERS,Construction,Standard,14,5000,2022-04-29,act
CUST181,TURNER DENTAL,Healthcare,Standard,14,5000,2023-04-16,ACT
CUST144,CAPITAL BOOKKEEPING,Finance,Corporate,30,20000,2023-03-06,ACT
CUST032,DEVELOPMENT INTELLIGENCE LAB,Technology,std,14,5000,2021-05-21,ACT
CUST346,AINSLIE TALENT GROUP,Recruitment,Standard,14,5000,2023-06-18,ACT
CUST437,DICKSON SECURITIES PTY LTD,Finance,Premium,30,10000,2023-09-06,ACT
CUST126,YARRALUMLA HOTEL GROUP,Hospitality,Corporate,30,20000,2023-06-21,ACT 
